0.4000000000000003 ps 
715.145 -88.7243 -1159.95
-884.424 -641.693 -850.676
1161.77 696.095 930.476
-173.468 -756.179 -535.475
-607.183 155.716 -454.115
1632.06 830.426 -581.405
-808.125 -581.751 46.2006
-303.52 -92.421 436.337
-660.324 905.138 -357.223
783.444 -423.771 298.614
-167.663 -452.666 48.2572
-1220.9 1050.12 -602.06
751.504 -538.442 574.158
469.017 -505.273 -106.314
794.851 1343.29 -32.2339
-563.857 -650.739 352.063
-80.6782 -755.604 -193.828
-77.9738 597.379 -1131.5
-433.263 -426.981 721.014
435.777 -406.631 526.72
-887.82 1006.25 -1487.32
756.446 -895.473 187.434
-33.5517 -381.433 1201.08
906.126 -1390.12 -1080.04
-762.116 176.322 115.93
-141.354 1031.3 813.615
746.217 397.624 -1788.13
-218.571 -652.764 1247.32
-666.713 97.7224 136.617
843.823 648.313 -441.713
-322.071 -249.768 -84.0939
-569.48 -621.772 313.354
-784.302 1118.28 -564.979
496.763 -642.281 -194.723
389.996 -662.128 684.718
745.708 183.5 1362.75
-544.236 -570.005 -583.726
-63.5891 326.637 -896.436
-1226.89 -224.877 -164.804
627.418 -2.9943 52.6496
393.914 379.155 -23.6538
1330.61 519.064 -1406.27
-160.002 -156.553 1048.62
-1101.8 -306.358 88.1839
126.823 824.979 -1770.61
-703.483 -262.574 729.938
429.816 -473.332 888.291
-1662 -274.602 -8.52633
1081.95 579.655 258.53
758.302 -357.195 -450.622
944.641 271.563 20.3801
-665.246 -158.913 -143.218
-364.027 -189.841 424.661
354.558 1000.06 1517.42
509.193 -581.766 -897.129
-747.653 -441.29 -754.486
-938.752 -297.386 639.09
221.028 681.43 -82.7813
836.627 -352.793 -319.456
-144.196 1061.48 497.684
-347.211 -712.666 -147.387
606.069 -331.108 -360.832
915.904 122.899 2057.46
329.703 116.205 -1040.18
-963.121 -225.268 -1060.27
431.121 -1594.75 1818.76
-323.287 514.759 -1113.43
-84.8279 1005.54 -221.988
-1198.76 264.308 736.939
793.044 -860.395 -297.628
485.57 418.19 -410.824
-1188.72 -143.444 -1291.99
549.899 -373.77 881.571
700.09 492.348 362.013
152.965 -978.315 325.25
131.523 554.517 -507.144
-123.622 400.673 331.836
-508.653 -723.097 -1089.63
-164.76 299.116 803.124
708.369 325.628 126.872
-775.525 498.873 -609.679
355.646 -172.477 701.436
791.48 -124.025 -65.9841
1216.07 1316.26 511.347
-492.151 -545.214 -827.727
-561.473 -1040.99 212.052
-572.12 -522.7 436.357
541.093 99.6483 -115.502
157.193 537.725 -504.564
446.906 1047.12 -665.014
-316.366 -495.225 618.047
-51.2816 -576.884 63.8809
-764.063 -1072.69 87.7279
32.4734 864.231 -54.8099
765.867 -0.175774 -469.105
210.719 151.105 1250.61
167.942 -461.646 -685.271
-327.845 200.744 -516.527
